Index,Year,Player,Pos,Age,Tm
0,1950,Curly Armstrong,G-F,31,FTW
1,1950,Cliff Barker,SG,29,INO
2,1950,Leo Barnhorst,SF,25,CHS
3,1950,Ed Bartels,F,24,TOT
4,1950,Ed Bartels,F,24,DNN
5,1950,Ed Bartels,F,24,NYK
6,1950,Ralph Beard,G,22,INO
7,1950,Gene Berce,G-F,23,TRI
8,1950,Charlie Black,F-C,28,TOT
9,1950,Charlie Black,F-C,28,FTW
10,1950,Charlie Black,F-C,28,AND
11,1950,Nelson Bobb,PG,25,PHW
12,1950,Jake Bornheimer,F-C,22,PHW
13,1950,Vince Boryla,SF,22,NYK
14,1950,Don Boven,F-G,24,WAT
15,1950,Harry Boykoff,C,27,WAT
16,1950,Joe Bradley,G,21,CHS
17,1950,Bob Brannum,PF,24,SHE
18,1950,Carl Braun,G-F,22,NYK
19,1950,Frankie Brian,G,26,AND
20,1950,Price Brookfield,F-G,29,ROC
21,1950,Bob Brown,F,26,DNN
22,1950,Jim Browne,C,20,DNN
23,1950,Walt Budko,PF,24,BLB
24,1950,Jack Burmaster,G,23,SHE
25,1950,Tommy Byrnes,F-G,26,BLB
26,1950,Bill Calhoun,SG,22,ROC
27,1950,Don Carlson,G-F,30,MNL
28,1950,Bob Carpenter,F-C,32,FTW
29,1950,Jake Carter,F-C,25,TOT
30,1950,Jake Carter,F-C,25,DNN
31,1950,Jake Carter,F-C,25,AND
32,1950,Al Cervi*,PG,32,SYR
33,1950,John Chaney,F-C,29,TOT
34,1950,John Chaney,F-C,29,TRI
35,1950,John Chaney,F-C,29,SHE
36,1950,Leroy Chollet,F,24,SYR
37,1950,Bill Closs,SF,28,AND
38,1950,Paul Cloyd,G-F,29,TOT
39,1950,Paul Cloyd,G-F,29,BLB
40,1950,Paul Cloyd,G-F,29,WAT
41,1950,Jack Coleman,PF,25,ROC
42,1950,Bobby Cook,G-F,26,SHE
43,1950,Ray Corley,G,22,SYR
44,1950,Jack Cotton,F-C,25,DNN
45,1950,Dillard Crocker,PF,25,DNN
46,1950,Chink Crossin,G,26,PHW
47,1950,Fran Curran,G,27,ROC
48,1950,Jimmy Darden,G,27,DNN
49,1950,Bob Davies*,PG,30,ROC
50,1950,Hook Dillon,F,26,WSC
51,1950,Earl Dodd,F,25,DNN
52,1950,Joe Dolhon,G,22,BLB
53,1950,Bob Doll,F-C,30,BOS
54,1950,Harry Donovan,G,23,NYK
55,1950,Andy Duncan,F-C,27,ROC
56,1950,Dike Eddleman,SF,27,TRI
57,1950,Gene Englund,F-C,32,TOT
58,1950,Gene Englund,F-C,32,BOS
59,1950,Gene Englund,F-C,32,TRI
60,1950,Bob Evans,G,24,INO
61,1950,Johnny Ezersky,F-G,27,TOT
62,1950,Johnny Ezersky,F-G,27,BLB
63,1950,Johnny Ezersky,F-G,27,BOS
64,1950,Bob Feerick,F-G,30,WSC
65,1950,George Feigenbaum,G,20,BLB
66,1950,Arnie Ferrin,F-G,24,MNL
67,1950,Jerry Fleishman,SG,27,PHW
68,1950,Joe Fulks*,PF,28,PHW
69,1950,Bill Gabor,SG,27,SYR
70,1950,Elmer Gainer,F-C,31,WAT
71,1950,Harry Gallatin*,F-C,22,NYK
72,1950,Vern Gardner,SG,24,PHW
73,1950,Frank Gates,G,29,AND
74,1950,Dee Gibson,F-G,26,TRI
75,1950,Hoot Gibson,F-C,28,TOT
76,1950,Hoot Gibson,F-C,28,BOS
77,1950,Hoot Gibson,F-C,28,WAT
78,1950,Chuck Gilmur,F-C,27,WSC
79,1950,Normie Glick,F,22,MNL
80,1950,Paul Gordon,F,22,BLB
81,1950,Joe Graboski,F-C,20,CHS
82,1950,Bud Grant,F,22,MNL
83,1950,Don Grate,F-G,26,SHE
84,1950,Alex Groza,C,23,INO
85,1950,Al Guokas,F-G,24,TOT
86,1950,Al Guokas,F-G,24,DNN
87,1950,Al Guokas,F-G,24,PHW
88,1950,Robert Hahn,C,24,CHS
89,1950,Chick Halbert,C,30,WSC
90,1950,Bruce Hale,G-F,31,INO
91,1950,Dale Hamilton,G-F,30,WAT
92,1950,Alex Hannum*,PF,26,SYR
93,1950,John Hargis,G-F,29,AND
94,1950,Bob Harris,F-C,22,FTW
95,1950,Bob Harrison,G,22,MNL
96,1950,Billy Hassett,G,28,TOT
97,1950,Billy Hassett,G,28,TRI
98,1950,Billy Hassett,G,28,MNL
99,1950,Marshall Hawkins,F,25,INO
100,1950,Bill Henry,C,25,TOT
101,1950,Bill Henry,C,25,FTW
102,1950,Bill Henry,C,25,TRI
103,1950,Bill Herman,G,25,DNN
104,1950,Kleggie Hermsen,C-F,26,CHS
105,1950,Sonny Hertzberg,G,27,BOS
106,1950,Paul Hoffman,G-F,24,BLB
107,1950,Joe Holland,SF,24,INO
108,1950,Red Holzman*,PG,29,ROC
109,1950,Gene James,F,24,NYK
110,1950,Howie Janotta,F,25,BLB
111,1950,Tony Jaros,F-G,29,MNL
112,1950,Buddy Jeannette*,G,32,BLB
113,1950,Arnie Johnson,SF,29,ROC
114,1950,Ralph Johnson,PG,28,TOT
115,1950,Ralph Johnson,PG,28,AND
116,1950,Ralph Johnson,PG,28,FTW
117,1950,Wah Wah,PF,23,INO
118,1950,Noble Jorgensen,C,24,SHE
119,1950,George Kaftan,SF,21,BOS
120,1950,Leo Katkaveck,G,26,WSC
121,1950,Jack Kerris,PF,25,TOT
122,1950,Jack Kerris,PF,25,TRI
123,1950,Jack Kerris,PF,25,FTW
124,1950,Bob Kinney,C-F,29,BOS
125,1950,Walt Kirk,PG,25,TOT
126,1950,Walt Kirk,PG,25,AND
127,1950,Walt Kirk,PG,25,TRI
128,1950,Leo Klier,F-G,26,FTW
129,1950,Duane Klueh,G,24,TOT
130,1950,Duane Klueh,G,24,DNN
131,1950,Duane Klueh,G,24,FTW
132,1950,Lee Knorek,C,28,BLB
133,1950,Milo Komenich,F-C,29,AND
134,1950,Leo Kubiak,G,22,WAT
135,1950,Frank Kudelka,G-F,24,CHS
136,1950,Walt Lautenbach,G-F,27,SHE
137,1950,Tony Lavelli,F,23,BOS
138,1950,Ed Leede,F-G,22,BOS
139,1950,Andrew Levane,F-G,29,SYR
140,1950,Freddie Lewis,F-G,29,TOT
141,1950,Freddie Lewis,F-G,29,BLB
142,1950,Freddie Lewis,F-G,29,PHW
143,1950,Ron Livingstone,C,24,TOT
144,1950,Ron Livingstone,C,24,BLB
145,1950,Ron Livingstone,C,24,PHW
146,1950,John Logan,G,29,STB
147,1950,Ray Lumpp,G,26,NYK
148,1950,Ed Macauley*,C-F,21,STB
149,1950,Johnny Macknowski,G-F,27,SYR
150,1950,John Mahnken,C,27,TOT
151,1950,John Mahnken,C,27,FTW
152,1950,John Mahnken,C,27,TRI
153,1950,John Mahnken,C,27,BOS
154,1950,John Mandic,F-C,30,TOT
155,1950,John Mandic,F-C,30,WSC
156,1950,John Mandic,F-C,30,BLB
157,1950,Slater Martin*,PG,24,MNL
158,1950,Ariel Maughan,F,26,STB
159,1950,Matt Mazza,F,26,SHE
160,1950,Mike McCarron,G,27,TOT
161,1950,Mike McCarron,G,27,BLB
162,1950,Mike McCarron,G,27,STB
163,1950,Dick McGuire*,PG,24,NYK
164,1950,Bones McKinney,SF,31,WSC
165,1950,Mal McMullen,F-C,22,INO
166,1950,Dick Mehen,PF,27,WAT
167,1950,Ken Menke,G,27,WAT
168,1950,Stan Miasek,C-F,25,CHS
169,1950,Ed Mikan,C,24,TOT
170,1950,Ed Mikan,C,24,CHS
171,1950,Ed Mikan,C,24,ROC
172,1950,George Mikan*,C,25,MNL
173,1950,Vern Mikkelsen*,PF,21,MNL
174,1950,Al Miksis,C,21,WAT
175,1950,Murray Mitchell,C,26,AND
176,1950,Leo Mogus,F-C,28,PHW
177,1950,Max Morris,F-C,24,SHE
178,1950,Joe Mullaney,G,24,BOS
179,1950,Jerry Nagel,G,21,FTW
180,1950,Jack Nichols,PF,23,TOT
181,1950,Jack Nichols,PF,23,WSC
182,1950,Jack Nichols,PF,23,TRI
183,1950,Richie Niemiera,G-F,28,TOT
184,1950,Richie Niemiera,G-F,28,FTW
185,1950,Richie Niemiera,G-F,28,AND
186,1950,Paul Noel,F,25,NYK
187,1950,Jim Nolan,C,22,PHW
188,1950,Johnny Norlander,F,28,WSC
189,1950,George Nostrand,C-F,26,TOT
190,1950,George Nostrand,C-F,26,BOS
191,1950,George Nostrand,C-F,26,TRI
192,1950,George Nostrand,C-F,26,CHS
193,1950,Mike Novak,C-F,34,TOT
194,1950,Mike Novak,C-F,34,ROC
195,1950,Mike Novak,C-F,34,PHW
196,1950,Dermie O'Connell,G,21,TOT
197,1950,Dermie O'Connell,G,21,BOS
198,1950,Dermie O'Connell,G,21,STB
199,1950,Andy O'Donnell,G,24,BLB
200,1950,Dick O'Keefe,G-F,26,WSC
201,1950,John Oldham,G,26,FTW
202,1950,Gene Ollrich,G,27,WAT
203,1950,Johnny Orr,F,22,TOT
204,1950,Johnny Orr,F,22,STB
205,1950,Johnny Orr,F,22,WAT
206,1950,Don Otten,C,28,TOT
207,1950,Don Otten,C,28,TRI
208,1950,Don Otten,C,28,WSC
209,1950,Mac Otten,F-C,24,TOT
210,1950,Mac Otten,F-C,24,TRI
211,1950,Mac Otten,F-C,24,STB
212,1950,Red Owens,SG,24,TOT
213,1950,Red Owens,SG,24,TRI
214,1950,Red Owens,SG,24,AND
215,1950,Easy Parham,F-G,28,STB
216,1950,Jack Parkinson,G,25,INO
217,1950,Charlie Parsley,G,24,PHW
218,1950,Stan Patrick,F-G,27,TOT
219,1950,Stan Patrick,F-G,27,WAT
220,1950,Stan Patrick,F-G,27,SHE
221,1950,Johnny Payak,SG,23,TOT
222,1950,Johnny Payak,SG,23,PHW
223,1950,Johnny Payak,SG,23,WAT
224,1950,Warren Perkins,G-F,27,TRI
225,1950,Ed Peterson,C,25,SYR
226,1950,Jack Phelan,F,24,TOT
227,1950,Jack Phelan,F,24,WAT
228,1950,Jack Phelan,F,24,SHE
229,1950,Andy Phillip*,G-F,27,CHS
230,1950,Jim Pollard*,SF,27,MNL
231,1950,John Pritchard,C,23,WAT
232,1950,Les Pugh,C-F,26,BLB
233,1950,Don Putman,G,27,STB
234,1950,George Ratkovicz,PF,27,SYR
235,1950,Don Ray,F-C,28,TRI
236,1950,Chick Reiser,G-F,35,WSC
237,1950,Arnie Risen*,C,25,ROC
238,1950,Tex Ritter,G-F,25,NYK
239,1950,Bill Roberts,C,24,STB
240,1950,Red Rocha,C,26,STB
241,1950,Kenny Rollins,PG,26,CHS
242,1950,Bob Royer,G,22,DNN
243,1950,Jerry Rullo,G,26,PHW
244,1950,Ed Sadowski,C,32,TOT
245,1950,Ed Sadowski,C,32,PHW
246,1950,Ed Sadowski,C,32,BLB
247,1950,Kenny Sailors,G,29,DNN
248,1950,Pep Saul,SG,25,ROC
249,1950,Herm Schaefer,G-F,31,MNL
250,1950,Marv Schatzman,F,22,BLB
251,1950,Fred Schaus,F,24,FTW
252,1950,Dolph Schayes*,F-C,21,SYR
253,1950,Milt Schoon,C,27,SHE
254,1950,Howie Schultz,PF,27,TOT
255,1950,Howie Schultz,PF,27,AND
256,1950,Howie Schultz,PF,27,FTW
257,1950,Dick Schulz,F-G,33,TOT
258,1950,Dick Schulz,F-G,33,WSC
259,1950,Dick Schulz,F-G,33,TRI
260,1950,Dick Schulz,F-G,33,SHE
261,1950,Fred Scolari,PG,27,WSC
262,1950,Wayne See,G,26,WAT
263,1950,Glen Selbo,G-F,23,SHE
264,1950,Rollie Seltz,G-F,26,AND
265,1950,Jim Seminoff,G-F,27,BOS
266,1950,George Senesky,PG,27,PHW
267,1950,Paul Seymour,G-F,22,SYR
