FULL NAME,TEAM,POS,AGE
Alex Abrines,Okc,G,25.69
Quincy Acy,Pho,F,28.51
Jaylen Adams,Atl,G,22.93
Steven Adams,Okc,C,25.73
Bam Adebayo,Mia,C-F,21.73
Deng Adel,Cle,F,22.19
DeVaughn Akoon-Purcell,Den,G-F,25.85
LaMarcus Aldridge,San,F,33.73
Rawle Alkins,Chi,G,21.45
Grayson Allen,Uta,G,23.51
Jarrett Allen,Bro,C,20.97
Kadeem Allen,Nyk,G,26.24
Al-Farouq Aminu,Por,F,28.55
Justin Anderson,Atl,G-F,25.39
Kyle Anderson,Mem,F,25.56
Ryan Anderson,Pho,F,30.93
Ryan Anderson,Mia,F,30.93
Ike Anigbogu,Ind,C,20.47
Giannis Antetokounmpo,Mil,F,24.35
Kostas Antetokounmpo,Dal,F,21.39
Carmelo Anthony,Hou,F,34.87
OG Anunoby,Tor,F,21.74
Ryan Arcidiacono,Chi,G,25.04
Trevor Ariza,Pho,F,33.78
Trevor Ariza,Was,F,33.78
D.J. Augustin,Orl,G,31.42
Deandre Ayton,Pho,C,20.72
Dwayne Bacon,Cha,G-F,23.61
Marvin Bagley III,Sac,F,20.08
Ron Baker,Nyk,G,26.03
Ron Baker,Was,G,26.03
Wade Baldwin IV,Por,G,23.03
Lonzo Ball,Lal,G,21.46
Mo Bamba,Orl,C,20.92
J.J. Barea,Dal,G,34.79
Harrison Barnes,Dal,F,26.86
Harrison Barnes,Sac,F,26.86
Will Barton,Den,G,28.26
Keita Bates-Diop,Min,F,23.21
Nicolas Batum,Cha,G-F,30.32
Jerryd Bayless,Min,G,30.64
Aron Baynes,Bos,F-C,32.34
Kent Bazemore,Atl,G,29.78
Bradley Beal,Was,G,25.79
Malik Beasley,Den,G,22.37
Michael Beasley,Lal,F,30.25
Marco Belinelli,San,G-F,33.05
Jordan Bell,Gol,F,24.26
DeAndre' Bembry,Atl,F,24.77
Dragan Bender,Pho,F,21.4
Davis Bertans,San,F,26.41
Dairis Bertans,Nor,G,29.59
Patrick Beverley,Lac,G,30.75
Khem Birch,Orl,C,26.53
Bismack Biyombo,Cha,C,26.62
Nemanja Bjelica,Sac,F,30.92
Antonio Blakeney,Chi,G,22.52
Eric Bledsoe,Mil,G,29.34
Jaron Blossomgame,Cle,F,25.57
Bojan Bogdanovic,Ind,F,29.98
Bogdan Bogdanovic,Sac,G,26.64
Andrew Bogut,Gol,C,34.37
Jonah Bolden,Phi,F,23.27
Isaac Bonga,Lal,G,19.42
Devin Booker,Pho,G,22.44
Chris Boucher,Tor,F,26.25
Avery Bradley,Lac,G,28.37
Avery Bradley,Mem,G,28.37
Tony Bradley,Uta,C,21.17
Corey Brewer,Phi,G-F,33.1
Corey Brewer,Sac,G-F,33.1
Miles Bridges,Cha,F,21.06
Mikal Bridges,Pho,F,22.61
Isaiah Briscoe,Orl,G,22.99
Ryan Broekhoff,Dal,G-F,28.63
Malcolm Brogdon,Mil,G,26.33
Dillon Brooks,Mem,G-F,23.22
MarShon Brooks,Mem,G,30.21
Troy Brown Jr.,Was,F,19.7
Bruce Brown,Det,G,22.65
Jaylen Brown,Bos,F,22.46
Lorenzo Brown,Tor,G,28.63
Sterling Brown,Mil,G,24.16
Jalen Brunson,Dal,G,22.61
Thomas Bryant,Was,C,21.7
Reggie Bullock,Det,F,28.07
Reggie Bullock,Lal,G-F,28.07
Trey Burke,Nyk,G,26.41
Trey Burke,Dal,G,26.41
Alec Burks,Uta,G,27.73
Alec Burks,Cle,G,27.73
Alec Burks,Sac,G,27.73
