Player,height,weight,collage
Curly Armstrong,180,77,Indiana University
Cliff Barker,188,83,University of Kentucky
Leo Barnhorst,193,86,University of Notre Dame
Ed Bartels,196,88,North Carolina State University
Ralph Beard,178,79,University of Kentucky
Gene Berce,180,79,Marquette University
Charlie Black,196,90,University of Kansas
Nelson Bobb,183,77,Temple University
Jake Bornheimer,196,90,Muhlenberg College
Vince Boryla,196,95,University of Denver
Don Boven,193,95,Western Michigan University
Harry Boykoff,208,102,St. John's University
Joe Bradley,190,79,Oklahoma State University
Bob Brannum,196,97,Michigan State University
Carl Braun,196,81,Colgate University
Frankie Brian,185,81,Louisiana State University
Price Brookfield,193,83,West Texas A&M University
Bob Brown,193,92,Miami University
Jim Browne,208,106,
Walt Budko,196,99,Columbia University
Jack Burmaster,190,86,University of Illinois at Urbana-Champaign
Tommy Byrnes,190,79,Seton Hall University
Bill Calhoun,190,81,City College of San Francisco
Don Carlson,183,77,University of Minnesota
Bob Carpenter,196,90,East Texas State University
Jake Carter,193,88,East Texas State University
Al Cervi*,180,77,
John Chaney,190,83,Louisiana State University
Leroy Chollet,188,86,Canisius College
Bill Closs,196,88,Rice University
Paul Cloyd,188,81,University of Wisconsin
Jack Coleman,201,88,University of Louisville
Bobby Cook,178,70,University of Wisconsin
Ray Corley,183,81,Georgetown University
Jack Cotton,201,90,University of Wyoming
Dillard Crocker,193,92,Western Michigan University
Chink Crossin,185,74,University of Pennsylvania
Fran Curran,183,79,University of Notre Dame
Jimmy Darden,185,77,University of Denver
Bob Davies*,185,79,Seton Hall University
Hook Dillon,190,81,University of North Carolina
Earl Dodd,196,79,Truman State University
Joe Dolhon,183,79,New York University
Bob Doll,196,88,University of Colorado
Harry Donovan,188,81,Muhlenberg College
Andy Duncan,198,88,College of William & Mary
Dike Eddleman,190,85,University of Illinois at Urbana-Champaign
Gene Englund,196,92,University of Wisconsin
Bob Evans,188,79,Butler University
Johnny Ezersky,190,79,University of Rhode Island
Bob Feerick,190,86,Santa Clara University
George Feigenbaum,185,83,University of Kentucky
Arnie Ferrin,188,81,University of Utah
Jerry Fleishman,188,86,New York University
Joe Fulks*,196,86,Murray State University
Bill Gabor,180,77,Syracuse University
Elmer Gainer,198,88,DePaul University
Harry Gallatin*,198,95,Truman State University
Vern Gardner,196,90,University of Utah
Frank Gates,183,72,Sam Houston State University
Dee Gibson,180,79,Western Kentucky University
Hoot Gibson,196,89,Creighton University
Chuck Gilmur,193,102,University of Washington
Normie Glick,201,86,Loyola Marymount University
Paul Gordon,190,83,University of Notre Dame
Joe Graboski,201,88,
Bud Grant,190,88,University of Minnesota
Don Grate,188,83,Ohio State University
Alex Groza,201,98,University of Kentucky
Al Guokas,196,90,Saint Joseph's University
Robert Hahn,208,108,North Carolina State University
Chick Halbert,206,102,West Texas A&M University
Bruce Hale,185,77,Santa Clara University
Dale Hamilton,183,81,Franklin College
Alex Hannum*,201,95,University of Southern California
John Hargis,188,81,University of Texas at Austin
Bob Harris,201,88,Oklahoma State University
Bob Harrison,201,88,Oklahoma State University
Billy Hassett,180,81,University of Notre Dame
Marshall Hawkins,190,92,University of Tennessee
Bill Henry,206,97,Rice University
Bill Herman,190,77,Mount Union College
Kleggie Hermsen,206,102,University of Minnesota
Sonny Hertzberg,178,79,City College of New York
Paul Hoffman,188,88,Purdue University
Joe Holland,193,83,University of Kentucky
Red Holzman*,178,79,City College of New York
Gene James,193,81,Marshall University
Howie Janotta,190,83,Seton Hall University
Tony Jaros,190,83,University of Minnesota
Buddy Jeannette*,180,79,Washington & Jefferson College
Arnie Johnson,196,107,Bemidji State University
Ralph Johnson,180,77,Huntington University
Wah Wah,180,77,
Noble Jorgensen,206,103,University of Iowa
George Kaftan,190,86,College of the Holy Cross
Leo Katkaveck,183,83,North Carolina State University
Jack Kerris,198,97,Loyola University of Chicago
Bob Kinney,198,97,Rice University
Walt Kirk,190,78,University of Illinois at Urbana-Champaign
Leo Klier,188,77,University of Notre Dame
Duane Klueh,190,79,Indiana State University
Lee Knorek,201,97,University of Detroit Mercy
Milo Komenich,201,96,University of Wyoming
Leo Kubiak,180,72,Bowling Green State University
Frank Kudelka,188,87,Saint Mary's College of California
Walt Lautenbach,188,83,University of Wisconsin
Tony Lavelli,190,83,Yale University
Ed Leede,190,83,Dartmouth College
Andrew Levane,188,86,St. John's University
Freddie Lewis,188,88,Eastern Kentucky University
Ron Livingstone,208,99,University of Wyoming
John Logan,188,79,Indiana University
Ray Lumpp,185,80,New York University
Ed Macauley*,203,83,Saint Louis University
Johnny Macknowski,183,81,Seton Hall University
John Mahnken,203,99,Georgetown University
John Mandic,193,92,Oregon State University
Slater Martin*,178,77,University of Texas at Austin
Ariel Maughan,193,86,Utah State University
Matt Mazza,190,95,Michigan State University
Mike McCarron,180,81,Seton Hall University
Dick McGuire*,183,81,St. John's University
Bones McKinney,198,83,University of North Carolina
Mal McMullen,196,95,Xavier University
Dick Mehen,196,88,University of Tennessee
