Year,Player,Pos,Age,Tm
1950,Curly Armstrong,G-F,31,FTW
1950,Cliff Barker,SG,29,INO
1950,Leo Barnhorst,SF,25,CHS
1950,Ed Bartels,F,24,TOT
1950,Ed Bartels,F,24,DNN
1950,Ed Bartels,F,24,NYK
1950,Ralph Beard,G,22,INO
1950,Gene Berce,G-F,23,TRI
1950,Charlie Black,F-C,28,TOT
1950,Charlie Black,F-C,28,FTW
1950,Charlie Black,F-C,28,AND
1950,Nelson Bobb,PG,25,PHW
1950,Jake Bornheimer,F-C,22,PHW
1950,Vince Boryla,SF,22,NYK
1950,Don Boven,F-G,24,WAT
1950,Harry Boykoff,C,27,WAT
1950,Joe Bradley,G,21,CHS
1950,Bob Brannum,PF,24,SHE
1950,Carl Braun,G-F,22,NYK
1950,Frankie Brian,G,26,AND
1950,Price Brookfield,F-G,29,ROC
1950,Bob Brown,F,26,DNN
1950,Jim Browne,C,20,DNN
1950,Walt Budko,PF,24,BLB
1950,Jack Burmaster,G,23,SHE
1950,Tommy Byrnes,F-G,26,BLB
1950,Bill Calhoun,SG,22,ROC
1950,Don Carlson,G-F,30,MNL
1950,Bob Carpenter,F-C,32,FTW
1950,Jake Carter,F-C,25,TOT
1950,Jake Carter,F-C,25,DNN
1950,Jake Carter,F-C,25,AND
1950,Al Cervi*,PG,32,SYR
1950,John Chaney,F-C,29,TOT
1950,John Chaney,F-C,29,TRI
1950,John Chaney,F-C,29,SHE
1950,Leroy Chollet,F,24,SYR
1950,Bill Closs,SF,28,AND
1950,Paul Cloyd,G-F,29,TOT
1950,Paul Cloyd,G-F,29,BLB
1950,Paul Cloyd,G-F,29,WAT
1950,Jack Coleman,PF,25,ROC
1950,Bobby Cook,G-F,26,SHE
1950,Ray Corley,G,22,SYR
1950,Jack Cotton,F-C,25,DNN
1950,Dillard Crocker,PF,25,DNN
1950,Chink Crossin,G,26,PHW
1950,Fran Curran,G,27,ROC
1950,Jimmy Darden,G,27,DNN
1950,Bob Davies*,PG,30,ROC
1950,Hook Dillon,F,26,WSC
1950,Earl Dodd,F,25,DNN
1950,Joe Dolhon,G,22,BLB
1950,Bob Doll,F-C,30,BOS
1950,Harry Donovan,G,23,NYK
1950,Andy Duncan,F-C,27,ROC
1950,Dike Eddleman,SF,27,TRI
1950,Gene Englund,F-C,32,TOT
1950,Gene Englund,F-C,32,BOS
1950,Gene Englund,F-C,32,TRI
1950,Bob Evans,G,24,INO
1950,Johnny Ezersky,F-G,27,TOT
1950,Johnny Ezersky,F-G,27,BLB
1950,Johnny Ezersky,F-G,27,BOS
1950,Bob Feerick,F-G,30,WSC
1950,George Feigenbaum,G,20,BLB
1950,Arnie Ferrin,F-G,24,MNL
1950,Jerry Fleishman,SG,27,PHW
1950,Joe Fulks*,PF,28,PHW
1950,Bill Gabor,SG,27,SYR
1950,Elmer Gainer,F-C,31,WAT
1950,Harry Gallatin*,F-C,22,NYK
1950,Vern Gardner,SG,24,PHW
1950,Frank Gates,G,29,AND
1950,Dee Gibson,F-G,26,TRI
1950,Hoot Gibson,F-C,28,TOT
1950,Hoot Gibson,F-C,28,BOS
1950,Hoot Gibson,F-C,28,WAT
1950,Chuck Gilmur,F-C,27,WSC
1950,Normie Glick,F,22,MNL
1950,Paul Gordon,F,22,BLB
1950,Joe Graboski,F-C,20,CHS
1950,Bud Grant,F,22,MNL
1950,Don Grate,F-G,26,SHE
1950,Alex Groza,C,23,INO
1950,Al Guokas,F-G,24,TOT
1950,Al Guokas,F-G,24,DNN
1950,Al Guokas,F-G,24,PHW
1950,Robert Hahn,C,24,CHS
1950,Chick Halbert,C,30,WSC
1950,Bruce Hale,G-F,31,INO
1950,Dale Hamilton,G-F,30,WAT
1950,Alex Hannum*,PF,26,SYR
1950,John Hargis,G-F,29,AND
1950,Bob Harris,F-C,22,FTW
1950,Bob Harrison,G,22,MNL
1950,Billy Hassett,G,28,TOT
1950,Billy Hassett,G,28,TRI
1950,Billy Hassett,G,28,MNL
1950,Marshall Hawkins,F,25,INO
1950,Bill Henry,C,25,TOT
1950,Bill Henry,C,25,FTW
1950,Bill Henry,C,25,TRI
1950,Bill Herman,G,25,DNN
1950,Kleggie Hermsen,C-F,26,CHS
1950,Sonny Hertzberg,G,27,BOS
1950,Paul Hoffman,G-F,24,BLB
1950,Joe Holland,SF,24,INO
1950,Red Holzman*,PG,29,ROC
1950,Gene James,F,24,NYK
1950,Howie Janotta,F,25,BLB
1950,Tony Jaros,F-G,29,MNL
1950,Buddy Jeannette*,G,32,BLB
1950,Arnie Johnson,SF,29,ROC
1950,Ralph Johnson,PG,28,TOT
1950,Ralph Johnson,PG,28,AND
1950,Ralph Johnson,PG,28,FTW
1950,Wah Wah,PF,23,INO
1950,Noble Jorgensen,C,24,SHE
1950,George Kaftan,SF,21,BOS
1950,Leo Katkaveck,G,26,WSC
1950,Jack Kerris,PF,25,TOT
1950,Jack Kerris,PF,25,TRI
1950,Jack Kerris,PF,25,FTW
1950,Bob Kinney,C-F,29,BOS
1950,Walt Kirk,PG,25,TOT
1950,Walt Kirk,PG,25,AND
1950,Walt Kirk,PG,25,TRI
1950,Leo Klier,F-G,26,FTW
1950,Duane Klueh,G,24,TOT
1950,Duane Klueh,G,24,DNN
1950,Duane Klueh,G,24,FTW
1950,Lee Knorek,C,28,BLB
1950,Milo Komenich,F-C,29,AND
1950,Leo Kubiak,G,22,WAT
1950,Frank Kudelka,G-F,24,CHS
1950,Walt Lautenbach,G-F,27,SHE
